Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
84,Gastón Brugman\Gaston-Brugman,uy URU,MF,Pescara,23,1992,21.5,7,0,0,40,23,0,10,39,63,0,0,0,Matches
85,Alessandro Bruno\Alessandro-Bruno,it ITA,MFDF,Pescara,33,1983,10.8,6,0,0,20,5,0,2,18,25,0,0,0,Matches
86,Marcel Büchel\Marcel-Buchel,li LIE,MFFW,Empoli,25,1991,9.1,5,0,0,16,7,0,7,16,10,0,0,0,Matches
87,Ante Budimir\Ante-Budimir,hr CRO,FW,Sampdoria,25,1991,3.5,0,0,0,17,7,3,2,0,4,0,0,0,Matches
88,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,38,1978,29.5,0,0,0,0,1,0,0,1,1,0,0,0,Matches
89,Nicolás Burdisso\Nicolas-Burdisso,ar ARG,DF,Genoa,35,1981,34.7,10,0,0,43,13,0,2,68,29,0,3,0,Matches
90,Bryan Cabezas\Bryan-Cabezas,ec ECU,MF,Atalanta,19,1997,0.3,0,0,0,0,0,1,0,0,2,0,0,0,Matches
91,Rafael Cabral\Rafael-Cabral,br BRA,GK,Napoli,26,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,29,1986,27.9,7,1,0,32,28,0,97,44,33,0,1,0,Matches
93,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,19,1996,11.0,3,0,0,13,11,0,37,21,27,0,0,0,Matches
94,Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,22,1994,29.5,4,0,0,37,19,2,2,90,36,0,0,0,Matches
95,José Callejón\Jose-Callejon,es ESP,FW,Napoli,29,1987,34.9,3,1,0,31,66,14,174,30,33,1,2,0,Matches
96,Hugo Campagnaro\Hugo-Campagnaro,ar ARG,DF,Pescara,36,1980,17.4,8,0,0,24,15,1,4,43,25,0,2,1,Matches
97,Antonio Candreva\Antonio-Candreva,it ITA,MFFW,Inter,29,1987,33.4,2,0,0,12,45,21,375,21,24,0,0,0,Matches
98,Paolo Cannavaro\Paolo-Cannavaro,it ITA,DF,Sassuolo,35,1981,15.8,2,0,0,17,18,0,5,37,18,0,0,0,Matches
99,Leonardo Capezzi\Leonardo-Capezzi,it ITA,MF,Crotone,21,1995,18.2,6,2,1,35,14,2,42,36,40,0,0,0,Matches
100,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Pescara,23,1993,34.5,8,0,0,49,98,32,76,17,22,2,0,0,Matches
101,Marco Capuano\Marco-Capuano,it ITA,DF,Cagliari,24,1991,8.6,1,2,1,9,8,1,12,11,13,0,0,0,Matches
102,Carlão\Carlao,br BRA,DF,Torino,30,1986,3.7,1,0,0,4,7,0,0,10,2,0,1,0,Matches
103,Carlos Carmona\Carlos-Carmona,cl CHI,MF,Atalanta,29,1987,1.1,2,2,1,4,1,0,0,3,3,0,0,0,Matches
104,Leandro Castán\Leandro-Castan,br BRA,DF,Torino,29,1986,13.1,4,0,0,19,13,0,1,38,27,0,0,0,Matches
105,Lucas Castro\Lucas-Castro,ar ARG,MF,Chievo,27,1989,30.7,6,2,1,56,48,6,71,72,57,0,1,0,Matches
106,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Genoa,21,1994,10.3,5,0,0,13,7,0,62,9,10,0,0,0,Matches
107,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,21,1994,7.4,3,1,0,8,5,0,57,8,9,0,0,0,Matches
108,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Crotone,24,1992,34.4,9,0,0,52,52,2,8,91,48,0,1,0,Matches
109,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,26,1989,18.8,5,0,0,21,4,0,6,42,25,0,1,1,Matches
110,Alberto Cerri\Alberto-Cerri,it ITA,FW,Pescara,20,1996,7.7,1,0,0,17,16,17,1,2,3,0,0,0,Matches
111,Boštjan Cesar\Bostjan-Cesar,si SVN,DF,Chievo,34,1982,16.0,9,2,1,28,22,0,1,25,14,0,2,0,Matches
112,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,31,1984,18.2,4,0,0,25,29,0,6,38,25,0,0,0,Matches
113,Federico Chiesa\Federico-Chiesa,it ITA,MFFW,Fiorentina,18,1997,16.6,4,2,1,35,36,7,71,17,23,1,0,0,Matches
114,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Napoli,26,1989,12.5,0,0,0,6,8,1,2,18,13,0,0,0,Matches
115,Ivaylo Chochev\Ivaylo-Chochev,bg BUL,MF,Palermo,23,1993,25.4,4,0,0,24,30,5,27,54,41,0,0,0,Matches
116,Luca Cigarini\Luca-Cigarini,it ITA,MF,Sampdoria,30,1986,3.1,3,0,0,7,5,0,16,9,7,0,0,0,Matches
117,Thiago Cionek\Thiago-Cionek,pl POL,DF,Palermo,30,1986,25.8,8,0,0,46,31,0,7,80,50,0,1,0,Matches
118,Claiton\Claiton,br BRA,DF,Crotone,31,1984,7.8,2,0,0,8,8,0,0,16,8,0,0,0,Matches
119,Andrea Coda\Andrea-Coda,it ITA,DF,Pescara,31,1985,11.1,7,2,1,16,6,1,1,50,4,0,0,0,Matches
120,Isaac Cofie\Isaac-Cofie,gh GHA,MF,Genoa,24,1991,11.1,5,0,0,20,6,1,2,20,30,0,0,0,Matches
121,Roberto Colombo\Roberto-Colombo,it ITA,GK,Cagliari,40,1975,0.9,1,1,0,0,0,0,0,0,0,0,0,0,Matches
122,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,29,1987,37.0,1,0,0,0,6,0,0,1,0,0,1,1,Matches
123,Andrea Conti\Andrea-Conti,it ITA,MF,Atalanta,22,1994,29.6,12,0,0,47,39,0,55,70,52,0,0,0,Matches
124,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,33,1983,36.0,2,1,0,0,3,0,2,3,1,0,0,0,Matches
125,Uroš Ćosić\Uros-Cosic,rs SRB,DF,Empoli,23,1992,10.7,1,0,0,3,5,1,13,23,6,0,0,0,Matches
126,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,32,1983,17.1,1,0,0,0,4,0,0,1,0,0,0,0,Matches
127,Andrea Costa\Andrea-Costa,it ITA,DF,Empoli,30,1986,23.1,6,0,0,16,38,4,2,45,16,0,2,1,Matches
128,Filippo Costa\Filippo-Costa,it ITA,DFMF,Chievo,21,1995,0.6,0,0,0,2,1,0,2,2,3,0,1,0,Matches
129,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Pescara,17,1999,5.4,4,0,0,20,7,0,8,10,8,0,0,0,Matches
130,Luca Crecco\Luca-Crecco,it ITA,MF,Lazio,20,1995,0.6,0,0,0,1,0,0,1,1,0,0,0,0,Matches
131,Alessandro Crescenzi\Alessandro-Crescenzi,it ITA,DFMF,Pescara,24,1991,15.6,1,0,0,25,20,2,32,22,18,0,3,0,Matches
132,Lorenzo Crisetig\Lorenzo-Crisetig,it ITA,MF,Crotone,23,1993,28.2,12,2,1,54,34,0,67,49,61,0,1,0,Matches
133,Bryan Cristante\Bryan-Cristante,it ITA,MF,Pescara,21,1995,10.9,1,0,0,28,7,1,12,12,20,0,0,0,Matches
134,Bryan Cristante\Bryan-Cristante,it ITA,MF,Atalanta,21,1995,7.4,1,0,0,10,8,0,12,4,14,0,0,0,Matches
135,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Fiorentina,22,1993,7.7,1,0,0,16,21,2,8,11,11,1,0,0,Matches
136,Daniele Croce\Daniele-Croce,it ITA,MF,Empoli,33,1982,32.5,4,0,0,40,100,2,86,41,55,0,1,0,Matches
137,Luca Crosta\Luca-Crosta,it ITA,GK,Cagliari,18,1998,1.0,0,0,0,0,1,0,0,0,0,0,1,0,Matches
138,Juan Cuadrado\Juan-Cuadrado,co COL,MFFW,Juventus,28,1988,23.3,8,0,0,41,81,6,82,28,39,0,0,0,Matches
139,Adrián Cubas\Adrian-Cubas,py PAR,MF,Pescara,20,1996,0.1,0,0,0,0,0,0,1,0,0,0,0,0,Matches
140,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,18,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Milan,18,1998,0.1,1,0,0,1,0,0,0,0,0,0,0,0,Matches
142,Marco D'Alessandro\Marco-DAlessandro,it ITA,MFFW,Atalanta,25,1991,8.5,2,0,0,13,26,1,48,8,10,0,0,0,Matches
143,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,27,1988,31.4,4,0,0,71,51,2,71,66,61,0,1,0,Matches
144,Dario Dainelli\Dario-Dainelli,it ITA,DF,Chievo,37,1979,24.3,8,0,0,29,23,1,0,76,27,0,0,1,Matches
145,Felipe dal Belo\Felipe-dal-Belo,br BRA,DF,Udinese,32,1984,31.3,9,0,0,27,17,1,9,78,36,0,0,0,Matches
146,Pietro De Giorgio\Pietro-De-Giorgio,it ITA,MF,Crotone,33,1983,0.1,0,0,0,0,0,0,1,0,1,0,0,0,Matches
147,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Fiorentina,29,1987,6.0,1,0,0,7,1,0,3,5,5,0,0,0,Matches
148,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,FWMF,Udinese,22,1994,26.0,7,1,0,38,50,1,176,16,42,0,1,0,Matches
149,Daniele De Rossi\Daniele-De-Rossi,it ITA,MF,Roma,33,1983,26.0,9,0,0,23,25,2,29,61,49,0,0,0,Matches
150,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Milan,23,1992,23.2,4,0,0,23,11,0,46,29,34,0,2,0,Matches
151,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Torino,28,1988,13.9,1,0,0,23,13,2,29,18,10,0,2,0,Matches
152,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FW,Sassuolo,25,1991,21.7,1,0,0,32,29,16,3,7,15,2,0,0,Matches
153,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,20,1995,2.7,2,0,0,3,2,0,0,4,1,0,0,0,Matches
154,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Sassuolo,22,1994,8.6,0,0,0,8,5,0,16,14,16,0,0,0,Matches
155,Fabio Depaoli\Fabio-Depaoli,it ITA,MFDF,Chievo,19,1997,5.0,2,2,1,10,11,0,17,16,13,0,0,0,Matches
156,Daniele Dessena\Daniele-Dessena,it ITA,MF,Cagliari,29,1987,13.2,4,1,0,11,20,0,14,17,26,0,0,0,Matches
157,Mattia Destro\Mattia-Destro,it ITA,FW,Bologna,25,1991,27.4,4,0,0,43,44,31,8,5,17,1,0,0,Matches
158,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Milan,22,1994,16.2,4,0,0,17,22,12,73,11,13,0,0,0,Matches
159,Federico Di Francesco\Federico-Di-Francesco,it ITA,FWMF,Bologna,22,1994,12.1,3,1,0,25,27,8,33,7,11,0,0,0,Matches
160,Davide Di Gennaro\Davide-Di-Gennaro,it ITA,MFFW,Cagliari,28,1988,15.9,5,2,1,15,47,0,95,25,24,0,0,0,Matches
161,Nunzio Di Roberto\Nunzio-Di-Roberto,it ITA,FW,Crotone,30,1985,0.1,0,0,0,0,0,0,1,0,0,0,0,0,Matches
162,Alessandro Diamanti\Alessandro-Diamanti,it ITA,FWMF,Palermo,33,1983,18.9,8,1,0,37,76,10,135,8,25,0,0,0,Matches
163,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Napoli,19,1997,11.6,1,0,0,13,11,0,1,24,18,0,0,0,Matches
164,Kevin Diks\Kevin-Diks,nl NED,DF,Fiorentina,19,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Federico Dimarco\Federico-Dimarco,it ITA,DF,Empoli,18,1997,7.2,2,0,0,9,4,0,51,11,11,0,0,0,Matches
166,Assane Dioussé\Assane-Diousse,sn SEN,MF,Empoli,18,1997,26.8,13,0,0,52,23,0,6,62,37,0,2,0,Matches
167,Dodô\Dodo,br BRA,DF,Sampdoria,24,1992,4.5,0,0,0,0,2,1,7,7,2,0,0,0,Matches
168,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,17,1999,38.0,2,0,0,0,3,0,0,2,0,0,1,0,Matches
169,Godfred Donsah\Godfred-Donsah,gh GHA,MF,Bologna,20,1996,9.8,2,0,0,6,8,0,9,15,8,0,0,0,Matches
170,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,18,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Boukary Dramé\Boukary-Drame,sn SEN,MFDF,Atalanta,31,1985,7.1,1,0,0,5,8,0,27,13,16,0,0,0,Matches
172,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Sassuolo,23,1993,14.8,4,0,0,30,16,1,47,14,28,1,0,0,Matches
173,Noë Dussenne\Noe-Dussenne,be BEL,DF,Crotone,24,1992,5.2,2,2,1,15,7,0,3,15,12,0,1,0,Matches
174,Paulo Dybala\Paulo-Dybala,ar ARG,MFFW,Juventus,22,1993,23.8,2,0,0,22,52,12,117,19,12,0,0,0,Matches
175,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,30,1986,33.9,4,0,0,52,51,28,22,12,11,4,0,0,Matches
176,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,30,1986,28.7,10,1,0,34,85,2,28,40,49,0,0,0,Matches
177,Edenílson\Edenilson,br BRA,MFFW,Genoa,26,1989,10.0,3,2,1,14,10,0,75,20,13,0,0,0,Matches
178,Éder\Eder,it ITA,FWMF,Inter,29,1986,16.5,3,0,0,29,33,4,41,9,19,0,0,0,Matches
179,Mirko Eramo\Mirko-Eramo,it ITA,MF,Sampdoria,27,1989,0.1,0,0,0,0,0,0,0,0,1,0,0,0,Matches
180,Lucas Evangelista\Lucas-Evangelista,br BRA,MF,Udinese,21,1995,2.3,1,0,0,6,8,0,9,3,6,0,0,0,Matches
181,Patrice Evra\Patrice-Evra,fr FRA,DFMF,Juventus,35,1981,2.8,0,0,0,5,1,0,7,3,4,0,0,0,Matches
182,Ewandro\Ewandro,br BRA,FWMF,Udinese,20,1996,0.7,0,0,0,2,0,0,1,0,2,0,0,0,Matches
183,Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Crotone,25,1991,34.7,7,0,0,78,84,46,19,18,23,1,0,0,Matches
184,Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Sassuolo,25,1991,0.2,0,0,0,0,1,0,0,0,0,0,0,0,Matches
185,Iago Falque\Iago-Falque,es ESP,FWMF,Torino,26,1990,28.0,2,0,0,20,22,20,95,33,27,1,0,0,Matches
186,Paolo Faragò\Paolo-Farago,it ITA,MF,Cagliari,23,1993,3.9,1,0,0,9,9,0,7,7,15,0,0,0,Matches
187,Davide Faraoni\Davide-Faraoni,it ITA,DF,Udinese,24,1991,3.7,2,0,0,8,1,0,13,6,16,0,1,0,Matches
188,Diego Farias\Diego-Farias,br BRA,MFFW,Cagliari,26,1990,13.0,4,0,0,20,15,7,31,12,11,2,0,0,Matches
189,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,29,1987,34.6,3,0,0,25,20,1,3,103,46,0,0,0,Matches
